# unfoldingWord/en_ult 24-JER.usfm @ 127cc1f3696994d967fc25fdd28a3a55d111132e
# Fixes s5 markers — Richard Mahn, fetched from git.door43.org 2026-08-24
# Every line below is REAL: the line number and the real line text up to the
# end of its last \c / \v marker. Nothing else in the file affects the
# hunk -> verse mapping, so the test rebuilds a stand-in file of exactly
# 43152 lines with these markers at these line numbers.
lines	43152
19105	\q1 \v 36
19130	\q1 \v 37
19148	\q1 \v 38
19184	\c 26
19186	\v 1
19206	\v 2
19254	\v 3
19293	\v 4
19322	\v 5
19347	\v 6
19373	\v 7
19393	\v 8
19428	\v 9
19466	\v 10
19501	\v 11
19540	\v 12
19571	\v 13
19602	\v 14
19627	\v 15
19675	\v 16
19711	\v 17
19731	\v 18
19783	\v 19
19831	\v 20
19867	\v 21
19905	\v 22
19921	\v 23
19955	\v 24
19984	\c 27
19986	\v 1
20009	\v 2
20026	\v 3
20076	\v 4
20098	\v 5
20136	\v 6
20171	\v 7
20210	\v 8
20273	\v 9
20313	\v 10
20341	\v 11
20380	\v 12
20412	\v 13
20445	\v 14
20475	\v 15
20514	\v 16
20565	\v 17
20586	\v 18
20633	\v 19
20661	\v 20
20691	\v 21
20719	\v 22
20752	\c 28
20754	\v 1
20808	\v 2
20828	\v 3
20862	\v 4
20907	\v 5
20938	\v 6
20975	\v 7
20996	\v 8
21031	\v 9
21058	\v 10
21077	\v 11
21127	\v 12
21152	\v 13
21181	\v 14
21228	\v 15
21255	\v 16
21283	\v 17
21296	\c 29
21298	\v 1
21343	\v 2
21372	\v 3
21408	\v 4
21429	\v 5
21442	\v 6
21476	\v 7
21509	\v 8
21547	\v 9
21569	\v 10
21600	\v 11
21632	\v 12
21651	\v 13
21668	\v 14
21725	\v 15
21738	\v 16
21777	\v 17
21810	\v 18
21861	\v 19
21897	\v 20
21916	\v 21
21969	\v 22
22008	\v 23
22059	\v 24
22068	\v 25
22108	\v 26
22150	\v 27
22168	\v 28
22197	\v 29
22213	\v 30
22222	\v 31
22254	\v 32
22312	\c 30
22314	\v 1
22323	\v 2
22346	\v 3
22391	\v 4
22404	\v 5
22421	\q1 \v 6
22458	\q1 \v 7
22485	\q1 \v 8
22521	\q1 \v 9
22539	\q1 \v 10
22595	\q1 \v 11
22649	\q1 \v 12
22661	\q1 \v 13
22679	\q1 \v 14
22719	\q1 \v 15
22748	\q1 \v 16
22793	\q1 \v 17
22827	\q1 \v 18
22867	\q1 \v 19
22903	\q1 \v 20
22929	\q1 \v 21
22973	\q1 \v 22
22990	\q1 \v 23
23011	\q1 \v 24
23043	\c 31
23045	\v 1
23068	\v 2
23088	\q1 \v 3
23112	\q1 \v 4
23145	\q1 \v 5
23165	\q1 \v 6
23196	\v 7
23227	\q1 \v 8
23273	\q1 \v 9
23321	\q1 \v 10
23356	\q1 \v 11
23372	\q1 \v 12
23434	\q1 \v 13
23472	\q1 \v 14
23496	\q1 \v 15
23528	\q1 \v 16
23560	\q1 \v 17
23576	\q1 \v 18
23610	\q1 \v 19
23645	\q1 \v 20
23689	\q1 \v 21
23717	\q1 \v 22
23743	\v 23
23781	\v 24
23801	\v 25
23815	\v 26
23830	\v 27
23859	\v 28
23901	\v 29
23923	\q1 \v 30
23944	\q1 \v 31
23969	\q1 \v 32
24018	\q1 \v 33
24071	\q1 \v 34
24121	\q1 \v 35
24162	\q1 \v 36
24189	\q1 \v 37
24232	\v 38
24257	\v 39
24276	\v 40
24327	\c 32
24329	\v 1
24354	\v 2
24392	\v 3
24429	\v 4
24474	\v 5
24506	\v 6
24516	\v 7
24547	\v 8
24616	\v 9
24647	\v 10
24670	\v 11
24691	\v 12
24749	\v 13
24757	\v 14
24796	\v 15
24820	\v 16
24840	\v 17
24867	\v 18
24896	\v 19
24933	\v 20
24964	\v 21
24995	\v 22
25019	\v 23
25065	\v 24
25119	\v 25
25152	\v 26
25161	\v 27
25176	\v 28
25207	\v 29
25255	\v 30
25296	\v 31
25331	\v 32
25374	\v 33
25401	\v 34
25419	\v 35
25474	\v 36
25514	\v 37
25554	\v 38
25567	\v 39
25594	\v 40
25636	\v 41
25668	\v 42
25698	\v 43
25730	\v 44
25799	\c 33
25801	\v 1
25824	\v 2
25839	\v 3
25863	\v 4
25898	\v 5
25943	\v 6
25970	\v 7
25992	\v 8
26027	\v 9
26085	\v 10
26132	\v 11
26199	\v 12
26232	\v 13
26287	\v 14
26315	\v 15
26343	\v 16
26364	\v 17
26387	\v 18
26422	\v 19
26431	\v 20
26459	\v 21
26489	\v 22
26527	\v 23
26536	\v 24
26571	\v 25
26594	\v 26
26635	\c 34
26637	\v 1
26680	\v 2
26722	\v 3
26771	\v 4
26793	\v 5
26837	\v 6
26852	\v 7
26891	\v 8
26918	\v 9
26951	\v 10
26995	\v 11
27029	\v 12
27040	\v 13
27074	\v 14
27126	\v 15
27164	\v 16
27211	\v 17
27268	\v 18
27303	\v 19
27333	\v 20
27374	\v 21
27419	\v 22
27460	\c 35
27462	\v 1
27482	\v 2
27512	\v 3
27536	\v 4
27583	\v 5
27608	\v 6
27636	\v 7
27690	\v 8
27725	\v 9
27746	\v 10
27767	\v 11
27817	\v 12
27826	\v 13
27861	\v 14
27917	\v 15
27983	\v 16
28011	\v 17
28065	\v 18
28110	\v 19
28140	\c 36
28142	\v 1
28166	\v 2
28215	\v 3
28256	\v 4
28288	\v 5
28306	\v 6
28362	\v 7
28398	\v 8
28429	\v 9
28475	\v 10
28525	\v 11
28543	\v 12
28594	\v 13
28618	\v 14
28671	\v 15
28690	\v 16
28722	\v 17
28741	\v 18
28764	\v 19
28785	\v 20
28819	\v 21
28863	\v 22
28886	\v 23
28934	\v 24
